# file = "data/ch14_r04.csv"
# samples = 100
# randomize = 42
# -----
outcome,length,chain
"Success",2,"8;8"
"Fail",19,"10;8;4;2;4;9;5;9;2;11;11;3;8;6;6;5;4;6;7"
"Fail",1,"2"
"Fail",7,"8;5;4;9;5;10;7"
"Success",1,"7"
"Fail",9,"9;5;2;12;10;8;3;3;7"
"Success",3,"8;5;8"
"Fail",1,"3"
"Success",3,"9;4;9"
"Success",11,"5;6;8;3;12;8;9;12;9;8;5"
"Fail",2,"6;7"
"Success",2,"8;8"
"Success",4,"6;9;9;6"
"Success",3,"6;3;6"
"Fail",1,"2"
"Fail",5,"9;8;4;2;7"
"Success",2,"10;10"
"Fail",2,"9;7"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"12"
"Success",1,"7"
"Fail",1,"3"
"Fail",2,"4;7"
"Success",3,"6;9;6"
"Fail",3,"10;6;7"
"Success",1,"11"
"Fail",3,"10;6;7"
"Success",3,"4;9;4"
"Fail",3,"4;3;7"
"Success",1,"7"
"Fail",3,"6;9;7"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",3,"8;5;7"
"Success",1,"7"
"Fail",2,"10;7"
"Fail",3,"5;9;7"
"Fail",15,"5;12;6;6;9;8;3;6;4;8;8;2;8;6;7"
"Fail",1,"3"
"Fail",9,"5;8;4;8;8;4;8;8;7"
"Success",3,"8;3;8"
"Fail",1,"3"
"Fail",2,"10;7"
"Fail",1,"2"
"Fail",3,"5;10;7"
"Fail",11,"5;6;10;6;6;8;4;10;6;10;7"
"Fail",3,"9;6;7"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",2,"6;7"
"Fail",7,"6;9;5;5;8;8;7"
"Fail",1,"12"
"Success",7,"6;8;3;10;11;4;6"
"Success",1,"11"
"Success",3,"8;6;8"
"Success",1,"7"
"Success",10,"10;12;6;5;8;11;12;9;11;10"
"Success",1,"7"
"Fail",5,"6;11;8;4;7"
"Fail",4,"10;3;3;7"
"Success",7,"8;10;4;6;5;4;8"
"Fail",6,"9;11;6;8;5;7"
"Fail",6,"4;6;12;6;12;7"
"Success",2,"8;8"
"Success",2,"9;9"
"Fail",11,"4;8;6;6;5;8;9;8;12;8;7"
"Fail",2,"8;7"
"Fail",3,"10;12;7"
"Fail",6,"4;5;8;5;5;7"
"Fail",1,"12"
"Success",1,"11"
"Fail",11,"5;3;9;9;3;6;8;11;6;10;7"
"Fail",3,"4;8;7"
"Fail",2,"10;7"
"Fail",3,"5;8;7"
"Fail",6,"5;8;6;12;4;7"
"Success",4,"4;9;3;4"
"Success",3,"10;8;10"
"Fail",1,"3"
"Fail",1,"2"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"3"
"Fail",2,"9;7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Success",5,"9;5;6;12;9"
"Fail",1,"3"
"Success",3,"8;5;8"
"Fail",1,"3"
"Fail",1,"3"
"Success",1,"7"
"Fail",8,"9;10;4;8;4;4;5;7"
"Success",3,"10;6;10"
"Fail",2,"9;7"
"Fail",11,"9;4;6;4;6;4;2;2;3;12;7"
"Fail",6,"4;6;8;6;5;7"
