# file = "data/output_9.csv"
# samples = 1000
# randomize = 10
# -----
outcome,length,chain
"Success",1,"7"
"Fail",2,"4;7"
"Fail",2,"10;7"
"Fail",1,"3"
"Success",1,"7"
"Success",1,"7"
"Success",5,"4;2;10;11;4"
"Fail",2,"10;7"
"Fail",3,"5;11;7"
"Fail",3,"10;6;7"
"Fail",2,"6;7"
"Success",1,"7"
"Success",8,"8;4;6;5;5;9;6;8"
"Fail",11,"8;6;4;5;2;11;4;5;9;6;7"
"Success",1,"11"
"Success",5,"5;9;8;12;5"
"Success",1,"7"
"Success",4,"5;2;11;5"
"Success",1,"7"
"Success",2,"9;9"
"Success",1,"7"
"Fail",3,"6;4;7"
"Fail",2,"10;7"
"Success",2,"5;5"
"Success",3,"4;2;4"
"Fail",2,"6;7"
"Fail",1,"3"
"Fail",4,"6;4;5;7"
"Fail",1,"3"
"Fail",14,"10;9;9;8;9;5;8;4;6;2;4;3;8;7"
"Fail",7,"8;3;4;12;9;6;7"
"Fail",3,"6;8;7"
"Fail",4,"5;12;4;7"
"Fail",4,"6;9;9;7"
"Fail",14,"4;5;5;5;9;3;3;9;2;5;8;5;3;7"
"Success",1,"7"
"Success",1,"7"
"Fail",4,"8;10;6;7"
"Fail",6,"6;5;8;9;8;7"
"Fail",2,"9;7"
"Success",3,"6;5;6"
"Fail",3,"9;8;7"
"Fail",4,"5;11;9;7"
"Fail",3,"4;8;7"
"Fail",12,"4;5;5;9;11;3;11;6;10;3;6;7"
"Success",1,"7"
"Fail",14,"5;8;6;6;6;3;12;6;9;10;6;8;8;7"
"Success",1,"11"
"Fail",1,"3"
"Fail",5,"4;5;5;12;7"
"Fail",4,"6;8;8;7"
"Success",4,"4;6;8;4"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",2,"5;7"
"Success",8,"8;11;6;2;11;10;6;8"
"Fail",3,"5;8;7"
"Success",2,"8;8"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",7,"8;5;12;4;4;3;7"
"Fail",1,"3"
"Success",3,"5;9;5"
"Fail",2,"5;7"
"Success",4,"5;2;11;5"
"Fail",2,"8;7"
"Fail",9,"9;10;5;10;4;5;6;5;7"
"Fail",13,"4;5;6;6;6;11;10;2;9;8;6;9;7"
"Success",3,"5;9;5"
"Success",6,"4;6;8;9;5;4"
"Fail",3,"8;12;7"
"Fail",2,"8;7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"8;7"
"Success",5,"9;6;6;4;9"
"Success",1,"7"
"Success",4,"5;3;9;5"
"Success",2,"9;9"
"Fail",9,"9;4;10;5;4;3;4;8;7"
"Success",4,"6;10;8;6"
"Fail",5,"5;6;6;6;7"
"Success",5,"6;10;10;8;6"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",7,"6;10;9;4;11;9;7"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",2,"8;7"
"Success",7,"5;8;3;6;8;12;5"
"Fail",5,"4;9;2;6;7"
"Success",1,"7"
"Success",1,"11"
"Success",1,"7"
"Fail",1,"3"
"Success",3,"9;11;9"
"Success",4,"9;6;8;9"
"Success",2,"8;8"
"Fail",12,"5;8;11;9;11;4;12;2;3;2;9;7"
"Success",7,"5;6;6;6;6;2;5"
"Success",3,"6;5;6"
"Success",1,"7"
"Fail",1,"3"
"Fail",10,"5;8;9;6;11;9;9;3;9;7"
"Fail",1,"2"
"Fail",3,"5;10;7"
"Fail",5,"8;6;5;10;7"
"Success",9,"6;4;4;3;3;12;5;9;6"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Success",9,"10;9;8;9;9;9;6;8;10"
"Fail",1,"3"
"Success",3,"5;6;5"
"Success",2,"8;8"
"Success",1,"7"
"Success",1,"7"
"Fail",6,"5;4;2;6;9;7"
"Fail",2,"10;7"
"Fail",1,"3"
"Fail",3,"10;5;7"
"Success",1,"11"
"Success",1,"7"
"Fail",7,"9;10;10;11;6;4;7"
"Fail",2,"8;7"
"Fail",5,"6;10;5;10;7"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",20,"10;9;4;5;9;2;2;12;9;3;8;3;8;9;9;4;6;9;3;7"
"Fail",6,"9;8;12;4;6;7"
"Success",1,"11"
"Fail",4,"6;4;4;7"
"Fail",1,"2"
"Success",1,"7"
"Fail",7,"10;8;9;9;6;9;7"
"Fail",1,"3"
"Success",1,"7"
"Success",1,"7"
"Success",1,"11"
"Fail",3,"6;9;7"
"Fail",1,"2"
"Fail",4,"5;9;6;7"
"Success",1,"7"
"Success",2,"6;6"
"Success",10,"10;9;5;6;6;9;11;4;9;10"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",3,"10;6;7"
"Success",1,"11"
"Fail",1,"12"
"Fail",1,"3"
"Fail",4,"6;8;8;7"
"Fail",7,"5;3;3;10;4;8;7"
"Success",4,"4;6;5;4"
"Fail",2,"10;7"
"Success",1,"7"
"Fail",3,"4;6;7"
"Success",6,"9;6;2;3;3;9"
"Fail",2,"9;7"
"Fail",11,"6;9;8;8;10;8;8;4;8;2;7"
"Fail",1,"3"
"Fail",12,"10;4;3;8;4;9;11;9;8;4;5;7"
"Success",1,"7"
"Fail",2,"10;7"
"Fail",2,"6;7"
"Fail",3,"8;5;7"
"Success",1,"7"
"Fail",1,"3"
"Success",1,"7"
"Success",3,"5;9;5"
"Fail",1,"2"
"Success",3,"6;3;6"
"Success",6,"5;8;8;6;10;5"
"Success",2,"8;8"
"Fail",1,"3"
"Fail",2,"8;7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"11"
"Success",11,"9;3;3;8;6;5;10;6;11;6;9"
"Fail",9,"10;6;9;2;12;6;3;3;7"
"Fail",11,"6;5;3;8;3;12;12;10;10;4;7"
"Success",1,"7"
"Success",2,"6;6"
"Fail",8,"6;9;10;3;3;11;3;7"
"Success",3,"8;3;8"
"Fail",3,"6;4;7"
"Fail",4,"6;5;9;7"
"Fail",1,"3"
"Success",2,"5;5"
"Success",5,"8;10;11;6;8"
"Fail",2,"8;7"
"Fail",2,"10;7"
"Success",6,"6;11;10;10;3;6"
"Fail",1,"2"
"Success",1,"11"
"Fail",2,"6;7"
"Fail",3,"9;11;7"
"Fail",3,"10;9;7"
"Success",1,"7"
"Success",2,"8;8"
"Success",4,"6;11;9;6"
"Success",1,"7"
"Fail",5,"6;9;4;4;7"
"Success",1,"7"
"Fail",2,"10;7"
"Success",2,"8;8"
"Fail",1,"12"
"Fail",3,"8;11;7"
"Fail",2,"8;7"
"Fail",1,"3"
"Success",1,"7"
"Fail",8,"10;3;8;5;3;6;8;7"
"Success",5,"5;9;3;9;5"
"Success",1,"7"
"Fail",3,"10;4;7"
"Success",1,"7"
"Success",4,"5;9;3;5"
"Fail",2,"6;7"
"Success",1,"7"
"Fail",5,"5;4;10;3;7"
"Success",12,"8;5;9;6;10;5;11;10;6;9;6;8"
"Success",1,"7"
"Fail",1,"3"
"Fail",7,"6;9;5;5;11;10;7"
"Success",1,"11"
"Fail",14,"10;6;8;6;4;5;5;12;9;5;11;11;5;7"
"Fail",1,"12"
"Fail",2,"8;7"
"Success",1,"7"
"Fail",1,"12"
"Fail",3,"9;3;7"
"Success",5,"6;2;3;8;6"
"Success",1,"7"
"Success",1,"7"
"Success",1,"7"
"Success",7,"8;9;11;9;6;9;8"
"Fail",4,"10;11;12;7"
"Fail",1,"3"
"Success",3,"4;9;4"
"Fail",2,"6;7"
"Fail",1,"2"
"Success",1,"11"
"Fail",5,"9;6;12;8;7"
"Fail",4,"6;11;10;7"
"Fail",1,"2"
"Fail",2,"9;7"
"Success",2,"6;6"
"Fail",2,"6;7"
"Fail",2,"8;7"
"Success",5,"8;10;4;6;8"
