# file = "data/ch14/sample_5.csv"
# samples = 1000
# randomize = 6
# -----
outcome,length,chain
"Fail",1,"12"
"Success",3,"4;6;4"
"Success",1,"7"
"Fail",3,"5;8;7"
"Success",5,"6;9;8;8;6"
"Success",16,"5;9;12;8;8;11;8;6;6;8;9;8;8;2;8;5"
"Success",1,"7"
"Fail",3,"8;10;7"
"Success",3,"10;9;10"
"Fail",1,"12"
"Success",3,"8;4;8"
"Success",2,"8;8"
"Success",4,"8;9;9;8"
"Success",1,"7"
"Success",5,"6;4;11;8;6"
"Fail",1,"3"
"Fail",2,"8;7"
"Success",1,"7"
"Success",8,"5;6;10;8;9;11;12;5"
"Success",1,"7"
"Fail",10,"5;9;11;9;9;4;8;4;4;7"
"Success",4,"6;5;9;6"
"Fail",6,"5;6;6;8;4;7"
"Fail",5,"4;6;10;6;7"
"Fail",1,"2"
"Success",1,"11"
"Success",6,"8;4;6;4;9;8"
"Fail",4,"6;4;10;7"
"Fail",1,"2"
"Fail",3,"10;8;7"
"Fail",1,"3"
"Success",1,"11"
"Success",6,"9;3;5;10;10;9"
"Success",1,"11"
"Success",3,"8;3;8"
"Success",1,"7"
"Success",6,"6;10;4;3;9;6"
"Fail",1,"3"
"Fail",3,"4;9;7"
"Fail",1,"2"
"Fail",3,"8;4;7"
"Fail",1,"2"
"Success",13,"10;8;8;5;6;8;8;8;11;6;6;9;10"
"Fail",3,"10;9;7"
"Fail",1,"3"
"Fail",2,"8;7"
"Fail",6,"5;6;6;11;10;7"
"Fail",2,"4;7"
"Fail",1,"3"
"Success",1,"11"
"Success",1,"7"
"Success",5,"8;3;6;12;8"
"Fail",4,"5;4;4;7"
"Fail",4,"6;4;9;7"
"Fail",14,"10;8;4;11;8;5;5;6;8;4;4;5;2;7"
"Success",1,"11"
"Fail",4,"6;3;3;7"
"Fail",1,"2"
"Fail",3,"10;9;7"
"Success",1,"7"
"Success",2,"9;9"
"Fail",8,"9;3;8;6;12;10;4;7"
"Fail",4,"8;10;2;7"
"Fail",4,"6;4;8;7"
"Fail",2,"4;7"
"Fail",4,"10;3;6;7"
"Fail",10,"9;6;11;10;8;3;8;12;10;7"
"Success",3,"6;5;6"
"Fail",3,"6;8;7"
"Success",10,"5;8;6;10;4;8;10;6;2;5"
"Fail",3,"5;9;7"
"Success",1,"11"
"Success",1,"7"
"Success",1,"7"
"Fail",3,"8;6;7"
"Success",3,"9;8;9"
"Success",2,"9;9"
"Success",2,"10;10"
"Fail",1,"3"
"Fail",1,"3"
"Fail",5,"6;8;3;9;7"
"Success",5,"8;6;6;10;8"
"Fail",2,"8;7"
"Fail",4,"5;8;8;7"
"Success",4,"6;4;5;6"
"Fail",5,"8;5;6;4;7"
"Fail",4,"8;6;6;7"
"Success",7,"10;9;6;2;4;5;10"
"Success",1,"7"
"Success",1,"11"
"Success",2,"6;6"
"Fail",2,"5;7"
"Fail",3,"9;10;7"
"Fail",5,"5;6;8;4;7"
"Fail",3,"6;11;7"
"Success",4,"9;11;6;9"
"Fail",1,"12"
"Success",3,"8;6;8"
"Fail",1,"3"
"Success",2,"6;6"
"Fail",1,"3"
"Success",9,"10;12;9;6;11;9;3;6;10"
"Fail",2,"9;7"
"Fail",3,"6;10;7"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",2,"9;7"
"Success",1,"7"
"Fail",2,"8;7"
"Success",1,"11"
"Success",1,"7"
"Fail",3,"10;3;7"
"Fail",2,"10;7"
"Success",1,"7"
"Success",3,"5;4;5"
"Success",4,"5;10;6;5"
"Fail",9,"10;8;5;5;5;8;3;9;7"
"Success",1,"7"
"Success",1,"7"
"Fail",2,"5;7"
"Fail",3,"10;6;7"
"Success",1,"7"
"Fail",1,"2"
"Fail",4,"6;8;8;7"
"Success",1,"11"
"Fail",2,"4;7"
"Fail",1,"3"
"Fail",1,"12"
"Success",4,"6;10;4;6"
"Fail",2,"6;7"
"Fail",2,"4;7"
"Fail",3,"4;10;7"
"Success",1,"7"
"Fail",2,"10;7"
"Success",3,"8;12;8"
"Success",1,"7"
"Fail",9,"10;4;12;9;3;5;5;6;7"
"Fail",1,"2"
"Success",8,"6;5;5;8;8;8;5;6"
"Success",6,"6;8;8;10;11;6"
"Fail",3,"4;2;7"
"Success",1,"7"
"Fail",2,"4;7"
"Fail",1,"2"
"Fail",5,"5;8;9;3;7"
"Fail",2,"6;7"
"Success",1,"7"
"Success",1,"7"
"Fail",1,"2"
"Success",1,"11"
"Fail",4,"6;10;8;7"
"Fail",1,"3"
"Success",1,"11"
"Fail",2,"5;7"
"Success",1,"11"
"Fail",1,"12"
